Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Mark 5:7,καὶ κράξας,"μεγάλῃ λέγει· τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ θεοῦ τοῦ ὑψίστου; ὁρκίζω"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Mark 9:7,"καὶ ἐγένετο νεφέλη ἐπισκιάζουσα αὐτοῖς, καὶ ἐγένετο","ἐκ τῆς νεφέλης· οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἀκούετε αὐτοῦ."
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Mark 15:34,καὶ τῇ ἐνάτῃ ὥρᾳ ἐβόησεν ὁ Ἰησοῦς,μεγάλῃ·        ελωι ελωι λεμα σαβαχθανι;  ὅ ἐστιν μεθερμηνευόμενον· ὁ θεός μου ὁ θεός
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Mark 15:37,ὁ δὲ Ἰησοῦς ἀφεὶς,μεγάλην ἐξέπνευσεν.
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Luke 1:44,ἰδοὺ γὰρ ὡς ἐγένετο ἡ,"τοῦ ἀσπασμοῦ σου εἰς τὰ ὦτά μου, ἐσκίρτησεν ἐν ἀγαλλιάσει τὸ βρέφος ἐν τῇ κοιλίᾳ μου."
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Luke 3:4,ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ προφήτου·,"βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ·"
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Luke 3:22,"καὶ καταβῆναι τὸ πνεῦμα τὸ ἅγιον σωματικῷ εἴδει ὡς περιστερὰν ἐπʼ αὐτόν, καὶ","ἐξ οὐρανοῦ γενέσθαι· σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν σοὶ εὐδόκησα."
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Luke 4:33,Καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου καὶ ἀνέκραξεν,μεγάλῃ·
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Luke 8:28,ἰδὼν δὲ τὸν Ἰησοῦν ἀνακράξας προσέπεσεν αὐτῷ καὶ,"μεγάλῃ εἶπεν· τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ θεοῦ τοῦ ὑψίστου; δέομαί σου, μή με βασανίσῃς."
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Luke 9:35,καὶ,"ἐγένετο ἐκ τῆς νεφέλης λέγουσα· οὗτός ἐστιν ὁ υἱός μου ὁ ἐκλελεγμένος, αὐτοῦ ἀκούετε."
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Luke 9:36,καὶ  ἐν τῷ γενέσθαι τὴν,εὑρέθη Ἰησοῦς μόνος. καὶ αὐτοὶ ἐσίγησαν καὶ οὐδενὶ ἀπήγγειλαν ἐν ἐκείναις ταῖς ἡμέραις οὐδὲν ὧν ἑώρακαν.
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Luke 11:27,Ἐγένετο δὲ ἐν τῷ λέγειν αὐτὸν ταῦτα ἐπάρασά τις,γυνὴ ἐκ τοῦ ὄχλου εἶπεν αὐτῷ· μακαρία ἡ κοιλία ἡ βαστάσασά σε καὶ μαστοὶ οὓς ἐθήλασας.
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Luke 17:13,καὶ αὐτοὶ ἦραν,"λέγοντες· Ἰησοῦ ἐπιστάτα, ἐλέησον ἡμᾶς."
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Luke 17:15,"Εἷς δὲ ἐξ αὐτῶν, ἰδὼν ὅτι ἰάθη, ὑπέστρεψεν μετὰ","μεγάλης δοξάζων τὸν θεόν,"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Luke 19:37,τῶν ἐλαιῶν ἤρξαντο ἅπαν τὸ πλῆθος τῶν μαθητῶν χαίροντες αἰνεῖν τὸν θεὸν,"μεγάλῃ περὶ πασῶν ὧν εἶδον δυνάμεων,"
φωναῖς,φωνή,—,—,—,—,feminine,dative,plural,Luke 23:23,οἱ δὲ ἐπέκειντο,"μεγάλαις αἰτούμενοι αὐτὸν σταυρωθῆναι, καὶ κατίσχυον αἱ φωναὶ αὐτῶν."
