Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Acts 10:35,ἀλλʼ ἐν παντὶ ἔθνει ὁ φοβούμενος αὐτὸν καὶ ἐργαζόμενος,δεκτὸς αὐτῷ ἐστιν.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Acts 13:10,"εἶπεν· ὦ πλήρης παντὸς δόλου καὶ πάσης ῥᾳδιουργίας, υἱὲ διαβόλου, ἐχθρὲ πάσης",", οὐ παύσῃ διαστρέφων τὰς ὁδοὺς [τοῦ] κυρίου τὰς  εὐθείας;"
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Acts 17:31,καθότι ἔστησεν ἡμέραν ἐν ᾗ μέλλει κρίνειν τὴν οἰκουμένην ἐν,", ἐν ἀνδρὶ ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν."
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Acts 24:25,διαλεγομένου δὲ αὐτοῦ περὶ,"καὶ ἐγκρατείας καὶ τοῦ κρίματος τοῦ μέλλοντος, ἔμφοβος γενόμενος ὁ Φῆλιξ ἀπεκρίθη· τὸ"
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Romans 1:17,—,"γὰρ θεοῦ ἐν αὐτῷ ἀποκαλύπτεται ἐκ πίστεως εἰς πίστιν, καθὼς γέγραπται· ὁ δὲ δίκαιος  ἐκ πίστεως ζήσεται."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 3:5,εἰ δὲ ἡ ἀδικία ἡμῶν θεοῦ,"συνίστησιν, τί ἐροῦμεν; μὴ ἄδικος ὁ θεὸς ὁ ἐπιφέρων τὴν ὀργήν ; κατὰ ἄνθρωπον λέγω."
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Romans 3:21,Νυνὶ δὲ χωρὶς νόμου,"θεοῦ πεφανέρωται μαρτυρουμένη ὑπὸ τοῦ νόμου καὶ τῶν προφητῶν,"
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Romans 3:22,—,"δὲ θεοῦ διὰ πίστεως Ἰησοῦ Χριστοῦ εἰς πάντας τοὺς πιστεύοντας. οὐ γάρ ἐστιν διαστολή,"
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Romans 3:25,ὃν προέθετο ὁ θεὸς ἱλαστήριον διὰ [τῆς] πίστεως ἐν τῷ αὐτοῦ αἵματι εἰς ἔνδειξιν τῆς,αὐτοῦ διὰ τὴν πάρεσιν τῶν προγεγονότων ἁμαρτημάτων
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Romans 3:26,"ἐν τῇ ἀνοχῇ τοῦ θεοῦ, πρὸς τὴν ἔνδειξιν τῆς","αὐτοῦ ἐν τῷ νῦν καιρῷ, εἰς τὸ εἶναι αὐτὸν δίκαιον καὶ δικαιοῦντα τὸν ἐκ πίστεως Ἰησοῦ."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 4:3,τί γὰρ ἡ γραφὴ λέγει; ἐπίστευσεν δὲ Ἀβραὰμ τῷ θεῷ καὶ ἐλογίσθη αὐτῷ εἰς,.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 4:5,τῷ δὲ μὴ ἐργαζομένῳ πιστεύοντι δὲ ἐπὶ τὸν δικαιοῦντα τὸν ἀσεβῆ λογίζεται ἡ πίστις αὐτοῦ εἰς,·
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 4:6,καθάπερ καὶ Δαυὶδ λέγει τὸν μακαρισμὸν τοῦ ἀνθρώπου ᾧ ὁ θεὸς λογίζεται,χωρὶς ἔργων·
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 4:9,καὶ ἐπὶ τὴν ἀκροβυστίαν; λέγομεν γάρ·  ἐλογίσθη τῷ Ἀβραὰμ ἡ πίστις εἰς,.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Romans 4:11,καὶ σημεῖον ἔλαβεν περιτομῆς σφραγῖδα  τῆς,"τῆς πίστεως τῆς ἐν τῇ ἀκροβυστίᾳ, εἰς τὸ εἶναι αὐτὸν πατέρα πάντων τῶν"
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Romans 4:11,"πατέρα πάντων τῶν πιστευόντων διʼ ἀκροβυστίας, εἰς τὸ λογισθῆναι [καὶ] αὐτοῖς [τὴν]",","
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Romans 4:13,"Ἀβραὰμ ἢ τῷ σπέρματι αὐτοῦ, τὸ κληρονόμον αὐτὸν εἶναι κόσμου, ἀλλὰ διὰ",πίστεως.
