Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Acts 9:31,Ἡ μὲν οὖν ἐκκλησία καθʼ ὅλης τῆς Ἰουδαίας καὶ Γαλιλαίας καὶ Σαμαρείας,εἰρήνην οἰκοδομουμένη καὶ πορευομένη τῷ φόβῳ τοῦ κυρίου καὶ τῇ παρακλήσει τοῦ ἁγίου πνεύματος ἐπληθύνετο.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Acts 18:18,"Συρίαν, καὶ σὺν αὐτῷ Πρίσκιλλα καὶ Ἀκύλας, κειράμενος ἐν Κεγχρεαῖς τὴν κεφαλήν,",γὰρ εὐχήν.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Hebrews 6:13,"Τῷ γὰρ Ἀβραὰμ ἐπαγγειλάμενος ὁ θεός, ἐπεὶ κατʼ οὐδενὸς","μείζονος ὀμόσαι, ὤμοσεν καθʼ ἑαυτοῦ"
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Revelation 13:11,"Καὶ εἶδον ἄλλο θηρίον ἀναβαῖνον ἐκ τῆς γῆς, καὶ",κέρατα δύο ὅμοια ἀρνίῳ καὶ ἐλάλει ὡς δράκων.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Revelation 21:15,Καὶ ὁ λαλῶν μετʼ ἐμοῦ,"μέτρον κάλαμον χρυσοῦν, ἵνα μετρήσῃ τὴν πόλιν καὶ τοὺς πυλῶνας αὐτῆς καὶ τὸ τεῖχος αὐτῆς."
εἶχέν,ἔχω,imperfect,active,indicative,third person,singular,Luke 13:6,Ἔλεγεν δὲ ταύτην τὴν παραβολήν· συκῆν,"τις πεφυτευμένην ἐν τῷ ἀμπελῶνι αὐτοῦ, καὶ ἦλθεν ζητῶν καρπὸν ἐν αὐτῇ καὶ οὐχ εὗρεν."
εἴχοσαν,ἔχω,imperfect,active,indicative,third person,plural,John 15:22,"Εἰ μὴ ἦλθον καὶ ἐλάλησα αὐτοῖς, ἁμαρτίαν οὐκ",· νῦν δὲ πρόφασιν οὐκ ἔχουσιν περὶ τῆς ἁμαρτίας αὐτῶν.
εἴχοσαν,ἔχω,imperfect,active,indicative,third person,plural,John 15:24,"εἰ τὰ ἔργα μὴ ἐποίησα ἐν αὐτοῖς ἃ οὐδεὶς ἄλλος ἐποίησεν, ἁμαρτίαν οὐκ",· νῦν δὲ καὶ ἑωράκασιν καὶ μεμισήκασιν καὶ ἐμὲ καὶ τὸν πατέρα μου.
εἴχομεν,ἔχω,imperfect,active,indicative,first person,plural,Hebrews 12:9,εἶτα τοὺς μὲν τῆς σαρκὸς ἡμῶν πατέρας,παιδευτὰς καὶ ἐνετρεπόμεθα· οὐ πολὺ [δὲ] μᾶλλον ὑποταγησόμεθα τῷ πατρὶ τῶν πνευμάτων καὶ ζήσομεν;
εἴχομεν,ἔχω,imperfect,active,indicative,first person,plural,2 John 5,"καὶ νῦν ἐρωτῶ σε, κυρία, οὐχ ὡς ἐντολὴν γράφων σοι καινὴν ἀλλʼ ἣν","ἀπʼ ἀρχῆς, ἵνα ἀγαπῶμεν ἀλλήλους."
εἴχετε,ἔχω,imperfect,active,indicative,second person,plural,John 9:41,"εἶπεν αὐτοῖς ὁ Ἰησοῦς· εἰ τυφλοὶ ἦτε, οὐκ ἂν","ἁμαρτίαν· νῦν δὲ λέγετε ὅτι βλέπομεν, ἡ ἁμαρτία ὑμῶν μένει."
εἴχετε,ἔχω,imperfect,active,indicative,second person,plural,Romans 6:21,τίνα οὖν καρπὸν,"τότε; ἐφʼ οἷς νῦν ἐπαισχύνεσθε, τὸ  γὰρ τέλος ἐκείνων θάνατος."
